sectionNumber,questionNumber,questionText,correctAnswer,explanation,points,audioStart,audioEnd
1,1,Listening question 1,A,Explanation for listening question 1,1,5,13
1,2,Listening question 2,B,Explanation for listening question 2,1,10,18
1,3,Listening question 3,C,Explanation for listening question 3,1,15,23
1,4,Listening question 4,D,Explanation for listening question 4,1,20,28
1,5,Listening question 5,A,Explanation for listening question 5,1,25,33
1,6,Listening question 6,B,Explanation for listening question 6,1,30,38
1,7,Listening question 7,C,Explanation for listening question 7,1,35,43
1,8,Listening question 8,D,Explanation for listening question 8,1,40,48
1,9,Listening question 9,A,Explanation for listening question 9,1,45,53
1,10,Listening question 10,B,Explanation for listening question 10,1,50,58
2,11,Listening question 11,C,Explanation for listening question 11,1,55,63
2,12,Listening question 12,D,Explanation for listening question 12,1,60,68
2,13,Listening question 13,A,Explanation for listening question 13,1,65,73
2,14,Listening question 14,B,Explanation for listening question 14,1,70,78
2,15,Listening question 15,C,Explanation for listening question 15,1,75,83
2,16,Listening question 16,D,Explanation for listening question 16,1,80,88
2,17,Listening question 17,A,Explanation for listening question 17,1,85,93
2,18,Listening question 18,B,Explanation for listening question 18,1,90,98
2,19,Listening question 19,C,Explanation for listening question 19,1,95,103
2,20,Listening question 20,D,Explanation for listening question 20,1,100,108
3,21,Listening question 21,A,Explanation for listening question 21,1,105,113
3,22,Listening question 22,B,Explanation for listening question 22,1,110,118
3,23,Listening question 23,C,Explanation for listening question 23,1,115,123
3,24,Listening question 24,D,Explanation for listening question 24,1,120,128
3,25,Listening question 25,A,Explanation for listening question 25,1,125,133
3,26,Listening question 26,B,Explanation for listening question 26,1,130,138
3,27,Listening question 27,C,Explanation for listening question 27,1,135,143
3,28,Listening question 28,D,Explanation for listening question 28,1,140,148
3,29,Listening question 29,A,Explanation for listening question 29,1,145,153
3,30,Listening question 30,B,Explanation for listening question 30,1,150,158
4,31,Listening question 31,C,Explanation for listening question 31,1,155,163
4,32,Listening question 32,D,Explanation for listening question 32,1,160,168
4,33,Listening question 33,A,Explanation for listening question 33,1,165,173
4,34,Listening question 34,B,Explanation for listening question 34,1,170,178
4,35,Listening question 35,C,Explanation for listening question 35,1,175,183
4,36,Listening question 36,D,Explanation for listening question 36,1,180,188
4,37,Listening question 37,A,Explanation for listening question 37,1,185,193
4,38,Listening question 38,B,Explanation for listening question 38,1,190,198
4,39,Listening question 39,C,Explanation for listening question 39,1,195,203
4,40,Listening question 40,D,Explanation for listening question 40,1,200,208
