questionNumber,label,text,isCorrect
1,A,Listening Q1 option A,True.ToLower()
1,B,Listening Q1 option B,False.ToLower()
1,C,Listening Q1 option C,False.ToLower()
1,D,Listening Q1 option D,False.ToLower()
2,A,Listening Q2 option A,False.ToLower()
2,B,Listening Q2 option B,True.ToLower()
2,C,Listening Q2 option C,False.ToLower()
2,D,Listening Q2 option D,False.ToLower()
3,A,Listening Q3 option A,False.ToLower()
3,B,Listening Q3 option B,False.ToLower()
3,C,Listening Q3 option C,True.ToLower()
3,D,Listening Q3 option D,False.ToLower()
4,A,Listening Q4 option A,False.ToLower()
4,B,Listening Q4 option B,False.ToLower()
4,C,Listening Q4 option C,False.ToLower()
4,D,Listening Q4 option D,True.ToLower()
5,A,Listening Q5 option A,True.ToLower()
5,B,Listening Q5 option B,False.ToLower()
5,C,Listening Q5 option C,False.ToLower()
5,D,Listening Q5 option D,False.ToLower()
6,A,Listening Q6 option A,False.ToLower()
6,B,Listening Q6 option B,True.ToLower()
6,C,Listening Q6 option C,False.ToLower()
6,D,Listening Q6 option D,False.ToLower()
7,A,Listening Q7 option A,False.ToLower()
7,B,Listening Q7 option B,False.ToLower()
7,C,Listening Q7 option C,True.ToLower()
7,D,Listening Q7 option D,False.ToLower()
8,A,Listening Q8 option A,False.ToLower()
8,B,Listening Q8 option B,False.ToLower()
8,C,Listening Q8 option C,False.ToLower()
8,D,Listening Q8 option D,True.ToLower()
9,A,Listening Q9 option A,True.ToLower()
9,B,Listening Q9 option B,False.ToLower()
9,C,Listening Q9 option C,False.ToLower()
9,D,Listening Q9 option D,False.ToLower()
10,A,Listening Q10 option A,False.ToLower()
10,B,Listening Q10 option B,True.ToLower()
10,C,Listening Q10 option C,False.ToLower()
10,D,Listening Q10 option D,False.ToLower()
11,A,Listening Q11 option A,False.ToLower()
11,B,Listening Q11 option B,False.ToLower()
11,C,Listening Q11 option C,True.ToLower()
11,D,Listening Q11 option D,False.ToLower()
12,A,Listening Q12 option A,False.ToLower()
12,B,Listening Q12 option B,False.ToLower()
12,C,Listening Q12 option C,False.ToLower()
12,D,Listening Q12 option D,True.ToLower()
13,A,Listening Q13 option A,True.ToLower()
13,B,Listening Q13 option B,False.ToLower()
13,C,Listening Q13 option C,False.ToLower()
13,D,Listening Q13 option D,False.ToLower()
14,A,Listening Q14 option A,False.ToLower()
14,B,Listening Q14 option B,True.ToLower()
14,C,Listening Q14 option C,False.ToLower()
14,D,Listening Q14 option D,False.ToLower()
15,A,Listening Q15 option A,False.ToLower()
15,B,Listening Q15 option B,False.ToLower()
15,C,Listening Q15 option C,True.ToLower()
15,D,Listening Q15 option D,False.ToLower()
16,A,Listening Q16 option A,False.ToLower()
16,B,Listening Q16 option B,False.ToLower()
16,C,Listening Q16 option C,False.ToLower()
16,D,Listening Q16 option D,True.ToLower()
17,A,Listening Q17 option A,True.ToLower()
17,B,Listening Q17 option B,False.ToLower()
17,C,Listening Q17 option C,False.ToLower()
17,D,Listening Q17 option D,False.ToLower()
18,A,Listening Q18 option A,False.ToLower()
18,B,Listening Q18 option B,True.ToLower()
18,C,Listening Q18 option C,False.ToLower()
18,D,Listening Q18 option D,False.ToLower()
19,A,Listening Q19 option A,False.ToLower()
19,B,Listening Q19 option B,False.ToLower()
19,C,Listening Q19 option C,True.ToLower()
19,D,Listening Q19 option D,False.ToLower()
20,A,Listening Q20 option A,False.ToLower()
20,B,Listening Q20 option B,False.ToLower()
20,C,Listening Q20 option C,False.ToLower()
20,D,Listening Q20 option D,True.ToLower()
21,A,Listening Q21 option A,True.ToLower()
21,B,Listening Q21 option B,False.ToLower()
21,C,Listening Q21 option C,False.ToLower()
21,D,Listening Q21 option D,False.ToLower()
22,A,Listening Q22 option A,False.ToLower()
22,B,Listening Q22 option B,True.ToLower()
22,C,Listening Q22 option C,False.ToLower()
22,D,Listening Q22 option D,False.ToLower()
23,A,Listening Q23 option A,False.ToLower()
23,B,Listening Q23 option B,False.ToLower()
23,C,Listening Q23 option C,True.ToLower()
23,D,Listening Q23 option D,False.ToLower()
24,A,Listening Q24 option A,False.ToLower()
24,B,Listening Q24 option B,False.ToLower()
24,C,Listening Q24 option C,False.ToLower()
24,D,Listening Q24 option D,True.ToLower()
25,A,Listening Q25 option A,True.ToLower()
25,B,Listening Q25 option B,False.ToLower()
25,C,Listening Q25 option C,False.ToLower()
25,D,Listening Q25 option D,False.ToLower()
