questionNumber,label,text,isCorrect
1,A,Reading Q1 option A,True.ToLower()
1,B,Reading Q1 option B,False.ToLower()
1,C,Reading Q1 option C,False.ToLower()
1,D,Reading Q1 option D,False.ToLower()
2,A,Reading Q2 option A,False.ToLower()
2,B,Reading Q2 option B,True.ToLower()
2,C,Reading Q2 option C,False.ToLower()
2,D,Reading Q2 option D,False.ToLower()
3,A,Reading Q3 option A,False.ToLower()
3,B,Reading Q3 option B,False.ToLower()
3,C,Reading Q3 option C,True.ToLower()
3,D,Reading Q3 option D,False.ToLower()
4,A,Reading Q4 option A,False.ToLower()
4,B,Reading Q4 option B,False.ToLower()
4,C,Reading Q4 option C,False.ToLower()
4,D,Reading Q4 option D,True.ToLower()
5,A,Reading Q5 option A,True.ToLower()
5,B,Reading Q5 option B,False.ToLower()
5,C,Reading Q5 option C,False.ToLower()
5,D,Reading Q5 option D,False.ToLower()
6,A,Reading Q6 option A,False.ToLower()
6,B,Reading Q6 option B,True.ToLower()
6,C,Reading Q6 option C,False.ToLower()
6,D,Reading Q6 option D,False.ToLower()
7,A,Reading Q7 option A,False.ToLower()
7,B,Reading Q7 option B,False.ToLower()
7,C,Reading Q7 option C,True.ToLower()
7,D,Reading Q7 option D,False.ToLower()
8,A,Reading Q8 option A,False.ToLower()
8,B,Reading Q8 option B,False.ToLower()
8,C,Reading Q8 option C,False.ToLower()
8,D,Reading Q8 option D,True.ToLower()
9,A,Reading Q9 option A,True.ToLower()
9,B,Reading Q9 option B,False.ToLower()
9,C,Reading Q9 option C,False.ToLower()
9,D,Reading Q9 option D,False.ToLower()
10,A,Reading Q10 option A,False.ToLower()
10,B,Reading Q10 option B,True.ToLower()
10,C,Reading Q10 option C,False.ToLower()
10,D,Reading Q10 option D,False.ToLower()
11,A,Reading Q11 option A,False.ToLower()
11,B,Reading Q11 option B,False.ToLower()
11,C,Reading Q11 option C,True.ToLower()
11,D,Reading Q11 option D,False.ToLower()
12,A,Reading Q12 option A,False.ToLower()
12,B,Reading Q12 option B,False.ToLower()
12,C,Reading Q12 option C,False.ToLower()
12,D,Reading Q12 option D,True.ToLower()
13,A,Reading Q13 option A,True.ToLower()
13,B,Reading Q13 option B,False.ToLower()
13,C,Reading Q13 option C,False.ToLower()
13,D,Reading Q13 option D,False.ToLower()
14,A,Reading Q14 option A,False.ToLower()
14,B,Reading Q14 option B,True.ToLower()
14,C,Reading Q14 option C,False.ToLower()
14,D,Reading Q14 option D,False.ToLower()
15,A,Reading Q15 option A,False.ToLower()
15,B,Reading Q15 option B,False.ToLower()
15,C,Reading Q15 option C,True.ToLower()
15,D,Reading Q15 option D,False.ToLower()
16,A,Reading Q16 option A,False.ToLower()
16,B,Reading Q16 option B,False.ToLower()
16,C,Reading Q16 option C,False.ToLower()
16,D,Reading Q16 option D,True.ToLower()
17,A,Reading Q17 option A,True.ToLower()
17,B,Reading Q17 option B,False.ToLower()
17,C,Reading Q17 option C,False.ToLower()
17,D,Reading Q17 option D,False.ToLower()
18,A,Reading Q18 option A,False.ToLower()
18,B,Reading Q18 option B,True.ToLower()
18,C,Reading Q18 option C,False.ToLower()
18,D,Reading Q18 option D,False.ToLower()
19,A,Reading Q19 option A,False.ToLower()
19,B,Reading Q19 option B,False.ToLower()
19,C,Reading Q19 option C,True.ToLower()
19,D,Reading Q19 option D,False.ToLower()
20,A,Reading Q20 option A,False.ToLower()
20,B,Reading Q20 option B,False.ToLower()
20,C,Reading Q20 option C,False.ToLower()
20,D,Reading Q20 option D,True.ToLower()
21,A,Reading Q21 option A,True.ToLower()
21,B,Reading Q21 option B,False.ToLower()
21,C,Reading Q21 option C,False.ToLower()
21,D,Reading Q21 option D,False.ToLower()
22,A,Reading Q22 option A,False.ToLower()
22,B,Reading Q22 option B,True.ToLower()
22,C,Reading Q22 option C,False.ToLower()
22,D,Reading Q22 option D,False.ToLower()
23,A,Reading Q23 option A,False.ToLower()
23,B,Reading Q23 option B,False.ToLower()
23,C,Reading Q23 option C,True.ToLower()
23,D,Reading Q23 option D,False.ToLower()
24,A,Reading Q24 option A,False.ToLower()
24,B,Reading Q24 option B,False.ToLower()
24,C,Reading Q24 option C,False.ToLower()
24,D,Reading Q24 option D,True.ToLower()
25,A,Reading Q25 option A,True.ToLower()
25,B,Reading Q25 option B,False.ToLower()
25,C,Reading Q25 option C,False.ToLower()
25,D,Reading Q25 option D,False.ToLower()
26,A,Reading Q26 option A,False.ToLower()
26,B,Reading Q26 option B,True.ToLower()
26,C,Reading Q26 option C,False.ToLower()
26,D,Reading Q26 option D,False.ToLower()
27,A,Reading Q27 option A,False.ToLower()
27,B,Reading Q27 option B,False.ToLower()
27,C,Reading Q27 option C,True.ToLower()
27,D,Reading Q27 option D,False.ToLower()
28,A,Reading Q28 option A,False.ToLower()
28,B,Reading Q28 option B,False.ToLower()
28,C,Reading Q28 option C,False.ToLower()
28,D,Reading Q28 option D,True.ToLower()
29,A,Reading Q29 option A,True.ToLower()
29,B,Reading Q29 option B,False.ToLower()
29,C,Reading Q29 option C,False.ToLower()
29,D,Reading Q29 option D,False.ToLower()
30,A,Reading Q30 option A,False.ToLower()
30,B,Reading Q30 option B,True.ToLower()
30,C,Reading Q30 option C,False.ToLower()
30,D,Reading Q30 option D,False.ToLower()
31,A,Reading Q31 option A,False.ToLower()
31,B,Reading Q31 option B,False.ToLower()
31,C,Reading Q31 option C,True.ToLower()
31,D,Reading Q31 option D,False.ToLower()
32,A,Reading Q32 option A,False.ToLower()
32,B,Reading Q32 option B,False.ToLower()
32,C,Reading Q32 option C,False.ToLower()
32,D,Reading Q32 option D,True.ToLower()
33,A,Reading Q33 option A,True.ToLower()
33,B,Reading Q33 option B,False.ToLower()
33,C,Reading Q33 option C,False.ToLower()
33,D,Reading Q33 option D,False.ToLower()
34,A,Reading Q34 option A,False.ToLower()
34,B,Reading Q34 option B,True.ToLower()
34,C,Reading Q34 option C,False.ToLower()
34,D,Reading Q34 option D,False.ToLower()
35,A,Reading Q35 option A,False.ToLower()
35,B,Reading Q35 option B,False.ToLower()
35,C,Reading Q35 option C,True.ToLower()
35,D,Reading Q35 option D,False.ToLower()
36,A,Reading Q36 option A,False.ToLower()
36,B,Reading Q36 option B,False.ToLower()
36,C,Reading Q36 option C,False.ToLower()
36,D,Reading Q36 option D,True.ToLower()
37,A,Reading Q37 option A,True.ToLower()
37,B,Reading Q37 option B,False.ToLower()
37,C,Reading Q37 option C,False.ToLower()
37,D,Reading Q37 option D,False.ToLower()
38,A,Reading Q38 option A,False.ToLower()
38,B,Reading Q38 option B,True.ToLower()
38,C,Reading Q38 option C,False.ToLower()
38,D,Reading Q38 option D,False.ToLower()
39,A,Reading Q39 option A,False.ToLower()
39,B,Reading Q39 option B,False.ToLower()
39,C,Reading Q39 option C,True.ToLower()
39,D,Reading Q39 option D,False.ToLower()
40,A,Reading Q40 option A,False.ToLower()
40,B,Reading Q40 option B,False.ToLower()
40,C,Reading Q40 option C,False.ToLower()
40,D,Reading Q40 option D,True.ToLower()
