sectionNumber,questionNumber,questionText,correctAnswer,explanation,points,audioStart,audioEnd
1,1,Reading question 1,A,Explanation for reading question 1,1,0,0
1,2,Reading question 2,B,Explanation for reading question 2,1,0,0
1,3,Reading question 3,C,Explanation for reading question 3,1,0,0
1,4,Reading question 4,D,Explanation for reading question 4,1,0,0
1,5,Reading question 5,A,Explanation for reading question 5,1,0,0
1,6,Reading question 6,B,Explanation for reading question 6,1,0,0
1,7,Reading question 7,C,Explanation for reading question 7,1,0,0
1,8,Reading question 8,D,Explanation for reading question 8,1,0,0
1,9,Reading question 9,A,Explanation for reading question 9,1,0,0
1,10,Reading question 10,B,Explanation for reading question 10,1,0,0
1,11,Reading question 11,C,Explanation for reading question 11,1,0,0
1,12,Reading question 12,D,Explanation for reading question 12,1,0,0
1,13,Reading question 13,A,Explanation for reading question 13,1,0,0
2,14,Reading question 14,B,Explanation for reading question 14,1,0,0
2,15,Reading question 15,C,Explanation for reading question 15,1,0,0
2,16,Reading question 16,D,Explanation for reading question 16,1,0,0
2,17,Reading question 17,A,Explanation for reading question 17,1,0,0
2,18,Reading question 18,B,Explanation for reading question 18,1,0,0
2,19,Reading question 19,C,Explanation for reading question 19,1,0,0
2,20,Reading question 20,D,Explanation for reading question 20,1,0,0
2,21,Reading question 21,A,Explanation for reading question 21,1,0,0
2,22,Reading question 22,B,Explanation for reading question 22,1,0,0
2,23,Reading question 23,C,Explanation for reading question 23,1,0,0
2,24,Reading question 24,D,Explanation for reading question 24,1,0,0
2,25,Reading question 25,A,Explanation for reading question 25,1,0,0
2,26,Reading question 26,B,Explanation for reading question 26,1,0,0
3,27,Reading question 27,C,Explanation for reading question 27,1,0,0
3,28,Reading question 28,D,Explanation for reading question 28,1,0,0
3,29,Reading question 29,A,Explanation for reading question 29,1,0,0
3,30,Reading question 30,B,Explanation for reading question 30,1,0,0
3,31,Reading question 31,C,Explanation for reading question 31,1,0,0
3,32,Reading question 32,D,Explanation for reading question 32,1,0,0
3,33,Reading question 33,A,Explanation for reading question 33,1,0,0
3,34,Reading question 34,B,Explanation for reading question 34,1,0,0
3,35,Reading question 35,C,Explanation for reading question 35,1,0,0
3,36,Reading question 36,D,Explanation for reading question 36,1,0,0
3,37,Reading question 37,A,Explanation for reading question 37,1,0,0
3,38,Reading question 38,B,Explanation for reading question 38,1,0,0
3,39,Reading question 39,C,Explanation for reading question 39,1,0,0
3,40,Reading question 40,D,Explanation for reading question 40,1,0,0
